"GEOID","AsianPercent","BlackPercent","HispanicPercent","NativeAmPercent","Hawaiian_PIPercent","LowerIncome","MiddleIncome","HighIncome","Agri_MiningPerc","ConstructionPerc","ManufacturingPerc","WholesalePerc","RetailPerc","TransportationPerc","Finance_RealEstatePerc","Science_WastePerc","Education_HealthPerc","Arts_Rec_FoodPerc","OtherPerc","name","state","Number_of_returns","estimated_exams","audit_rate","audit_rate_trunk","YEAR","PARTISAN_INDEX_DEM","PARTISAN_INDEX_REP"
"48075",1.88411956367757,9.63309250602068,20.4986542003117,0.977475563110922,2.11078056381924,0.479715600167294,0.283563362609787,0.141363446256796,4.30769230769231,3.38461538461538,7,1.34615384615385,6.73076923076923,5.34615384615385,3.65384615384615,4.84615384615385,32.4230769230769,5.30769230769231,10.8461538461538,"Childress County, Texas","Texas",10080,85,8.43253968253968,8.43253968253968,2016,0.1400989145041,0.8599010705948
"48091",0.862645446034506,1.96853684632874,26.273906647051,0.420456065266818,0.0183897285007356,0.334281358785921,0.326408955427635,0.296375509089668,1.94131758627053,9.59771175493633,6.76139509134527,3.30688318878022,12.6979147444178,4.42147997785569,7.00682782801255,12.1904410407824,21.9616165344159,8.87617641631297,4.86990219597712,"Comal County, Texas","Texas",240720,1812,7.52741774675972,7.52741774675972,2016,0.2097891420126,0.7902108430862
"48225",0.148154603686435,25.5566691359101,10.5930541635801,0.095864743561811,0,0.537161322396222,0.233905045985583,0.103156848123291,7.52534442422667,8.52612425266441,7.7203015336626,1.84559396932675,13.4910319729659,6.73251884585391,5.39381336106057,3.50922796984663,24.1486872887965,5.70574473615804,5.73173901741617,"Houston County, Texas","Texas",33350,291,8.7256371814093,8.7256371814093,2016,0.2384550273418,0.7615450024605
"48349",0.679579367388503,13.6352300594372,25.2150962217881,2.09692838438838,0.914418720645081,0.48583853064027,0.276306002174286,0.14481890484637,4.63812689121484,6.54298328290094,16.3301751078923,2.05367329728657,12.9520313507614,6.02212411329927,4.12222828513319,7.07376357954264,19.8868991517436,7.70375514658465,4.72245647105511,"Navarro County, Texas","Texas",81130,683,8.41858745223715,8.41858745223715,2016,0.2536315321922,0.7463684678078
"48415",0.29585798816568,4.54809142591948,38.7051862164984,0.736744401902773,0,0.404835390946502,0.341735253772291,0.218621399176955,22.018722018722,9.04897571564238,2.6319359652693,1.60086826753493,12.9426129426129,4.65337132003799,4.87043820377154,1.3024013024013,21.1368878035545,8.64197530864197,4.68050468050468,"Scurry County, Texas","Texas",28200,215,7.6241134751773,7.6241134751773,2016,0.1387004107237,0.8612995743752
"48433",0,4.1018387553041,20.1555869872702,0,0,0.460344827586207,0.306896551724138,0.131034482758621,22.7848101265823,11.754068716094,2.16998191681736,2.89330922242315,7.05244122965642,4.88245931283906,6.14828209764919,1.08499095840868,28.3905967450271,2.53164556962025,1.26582278481013,"Stonewall County, Texas","Texas",2530,16,6.32411067193676,6.32411067193676,2016,0.2364940643311,0.7635059356689
"48021",0.881114518895878,7.88714456516089,34.479128762281,0.814835993138223,0,0.394122731201383,0.318378250962521,0.230179932427123,3.116594007977,13.0600129858084,9.52601799462017,1.72216553813808,11.9964134434035,7.95535355409208,3.72878211668676,8.74377763349102,17.9049562501932,7.01852023621804,4.96861762978079,"Bastrop County, Texas","Texas",135060,1040,7.70028135643418,7.70028135643418,2016,0.4023340940475,0.5976659059525
"48025",0.232707676291375,8.72041397470835,57.337946660951,0.578707247619339,0,0.490070760100434,0.290458799360876,0.12325952978772,12.7643287723663,6.08554205339202,4.24839728255669,1.14821548177208,15.022485886518,5.30092814084777,2.78442254329729,3.82738493924026,23.7297866232896,5.68366663477179,7.62606449143623,"Bee County, Texas","Texas",44130,371,8.40697937910718,8.40697937910718,2016,0.4120571315289,0.5879428386688
"48103",0,3.48837209302326,60,1.20507399577167,0,0.35538261997406,0.413099870298314,0.172503242542153,29.1919191919192,5.35353535353535,4.19191919191919,2.92929292929293,7.87878787878788,9.14141414141414,0.202020202020202,3.43434343434343,19.3939393939394,5.05050505050505,8.18181818181818,"Crane County, Texas","Texas",8190,58,7.08180708180708,7.08180708180708,2016,0.1916513890028,0.808348596096
"50021",0.731868494961176,0.632744093837766,1.30183380142078,0.199900875598877,0,0.442397580423426,0.334066538355788,0.160296948034094,2.4597510373444,7.78755186721992,10.8780082987552,2.8448132780083,14.0149377593361,3.91369294605809,3.39917012448133,7.53526970954357,27.3726141078838,9.8954356846473,4.56099585062241,"Rutland County, Vermont","Vermont",125030,891,7.12628969047429,7.12628969047429,2016,0.5789168477058,0.4210831522942
"50017",0.456289536451312,0.525424314701511,1.20294514155346,0.622213004251789,0,0.407803753704313,0.35882449785973,0.185133355284821,3.47394540942928,9.18114143920596,9.32480083583649,1.59984328065822,11.9955596186496,3.66331461407862,4.81911975969701,7.08502024291498,29.9399242523181,6.36672325976231,5.39375734621915,"Orange County, Vermont","Vermont",58900,417,7.07979626485569,7.07979626485569,2016,0.6060108542442,0.3939891755581
"50027",0.934995547640249,0.669634906500445,1.40516473731077,0.178094390026714,0.121104185218166,0.414330599420574,0.316276982086751,0.213775655935039,2.96626531400288,7.38231474005687,10.6680240109524,2.47832344578229,9.87467967844982,3.12774247902552,4.58805771053463,8.97602415136729,29.9891178432267,10.829501175975,3.51037315266613,"Windsor County, Vermont","Vermont",121210,879,7.25187690784589,7.25187690784589,2016,0.6816087961197,0.318391174078
"72077",0,3.74027528426092,99.5112706961899,0.0049870337123479,0,0.582486136783734,0.121457178065311,0.0189463955637708,0.570983649104594,4.1958646941777,14.8888312137728,2.42235487498919,14.110217146812,2.20607318972229,3.86711653257202,9.16169218790553,24.3706202958733,7.88995587853621,4.74089454105026,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72001",0,0.537917941145449,99.7890517877861,0.0738318742748655,0,0.419329326162607,0.0719708952863018,0.0204049351471053,7.1096994869289,9.45516735890545,10.8722208648913,0.659662838993403,9.28414365990716,5.98582946494014,2.66308331297337,3.90911311996091,27.3149279257268,8.25800146591742,3.10285853896897,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72067",0.415553576729,2.14900563965568,99.5072721875928,0,0,0.607977563103771,0.118416952321596,0.0119975070115301,0.941272764477184,2.16901984857786,8.28729281767956,3.60139144669531,16.1039492531205,3.29445467567015,4.5426642111725,8.2463679148762,27.6856967464702,7.79619398403929,5.99549826069163,NA,NA,NA,NA,NA,NA,NA,NA,NA
